174	0	32
123	6	196
170	6	177
92	4	112
15	4	14
62	0	126
162	6	178
85	0	78
89	8	79
37	4	17
172	8	128
47	0	105
79	5	97
57	6	139
190	8	56
39	6	20
62	9	69
191	4	53
183	9	48
144	1	140
7	0	99
91	9	51
113	8	22
31	9	37
112	8	144
32	5	70
130	5	65
52	1	176
174	6	76
122	8	78
86	6	6
171	7	130
193	2	173
179	8	10
14	3	115
59	1	77
69	8	123
1	4	14
142	6	129
113	9	48
103	5	82
38	4	10
28	9	52
98	8	139
95	0	78
166	3	159
6	5	29
2	1	162
87	5	138
14	3	76
3	1	190
107	7	134
77	5	46
2	0	107
46	7	36
11	9	15
118	7	20
99	1	66
81	4	156
25	4	23
51	9	103
110	6	25
13	9	197
65	3	178
143	0	54
183	4	53
8	0	117
128	1	19
130	1	166
113	2	96
94	2	138
199	7	42
38	5	126
5	4	174
119	8	181
62	5	22
199	6	28
74	5	76
25	1	189
142	6	97
106	1	110
49	1	105
179	5	150
69	7	55
22	6	15
170	8	114
179	9	19
44	2	179
101	3	139
100	0	140
157	7	11
148	4	118
64	2	159
76	1	89
32	2	72
130	6	18
81	1	168
9	3	129
196	2	52
43	4	48
54	8	166
173	1	66
162	5	19
154	9	80
123	6	44
108	6	79
191	7	166
160	5	179
81	1	59
54	0	199
139	4	136
87	8	46
84	8	132
137	8	78
157	1	1
150	5	21
111	5	18
134	2	99
192	7	176
169	7	102
87	4	173
98	8	130
153	6	67
148	2	19
131	6	172
149	9	151
180	0	141
54	4	183
197	7	66
120	3	168
46	0	38
196	4	191
194	8	65
8	9	148
11	4	41
7	3	48
64	3	152
75	3	159
165	5	104
68	7	125
127	3	191
158	2	104
123	1	135
104	7	155
125	3	76
142	1	105
29	4	10
155	5	145
124	6	177
119	0	96
189	7	198
7	7	59
148	2	162
24	2	168
6	8	67
196	1	26
83	7	141
37	5	73
132	9	63
32	2	163
0	8	194
49	3	129
189	0	122
114	2	91
46	7	181
0	2	164
96	6	137
98	9	82
127	2	93
153	9	138
42	4	89
169	5	103
164	2	118
5	9	167
165	9	136
17	8	194
1	0	103
178	4	99
112	4	130
191	9	76
68	0	108
136	2	113
176	0	169
143	1	47
48	4	105
96	8	100
149	1	166
168	6	198
50	8	109
102	8	162
140	7	25
8	6	17
20	2	30
198	3	157
55	1	62
122	8	12
121	2	61
122	0	149
63	1	152
12	6	167
97	9	75
1	9	151
146	7	11
109	1	193
115	7	126
184	5	69
76	8	55
81	3	71
50	5	11
192	2	138
110	6	19
176	1	55
81	5	54
111	1	142
158	9	191
109	7	35
103	9	61
94	5	110
124	9	158
198	4	136
136	8	26
121	6	101
63	3	139
80	2	9
